stockSymbol, buyingPrice, buyingDate, sellingPrice, sellingDate, quantity, PnL, ReturnOnEquity, isTradeActive
ONGC,257.75,2015-10-07 05:30:00.0,193.25,2016-02-12 05:30:00.0,38.797283,-2502.4248,-25.024248,false
ONGC,216.65,2016-03-21 05:30:00.0,277.25,2016-11-02 05:30:00.0,46.1574,2797.1387,27.971388,false
ONGC,192.4,2017-05-02 05:30:00.0,147.05,2018-10-05 05:30:00.0,51.97505,-2357.0684,-23.570684,false
ONGC,146.7,2019-02-06 05:30:00.0,108.95,2020-01-31 05:30:00.0,68.16633,-2573.2788,-25.732788,false
ONGC,77.15,2020-05-19 05:30:00.0,99.0,2020-12-18 05:30:00.0,129.61763,2832.1455,28.321457,false
OFSS,3029.2,2014-05-14 05:30:00.0,3449.7,2014-09-24 05:30:00.0,3.3012016,1388.1553,13.881553,false
OFSS,3321.3,2015-04-29 05:30:00.0,4071.2,2015-08-24 05:30:00.0,3.0108693,2257.8506,22.578506,false
OFSS,3516.7,2016-03-29 05:30:00.0,4260.15,2018-09-18 05:30:00.0,2.843575,2114.0557,21.140556,false
OFSS,4007.35,2018-10-01 05:30:00.0,3098.65,2019-06-21 05:30:00.0,2.4954147,-2267.5835,-22.675835,false
OFSS,3381.55,2019-07-15 05:30:00.0,2600.25,2020-03-04 05:30:00.0,2.9572237,-2310.479,-23.10479,false
OFSS,2400.95,2020-05-06 05:30:00.0,3043.55,2020-07-23 05:30:00.0,4.165018,2676.4414,26.764412,false
PAGEIND,13510.35,2016-01-01 05:30:00.0,10261.25,2016-02-12 05:30:00.0,0.7401733,-2404.897,-24.048971,false
PAGEIND,12116.9,2016-03-31 05:30:00.0,14773.3,2016-09-09 05:30:00.0,0.8252936,2192.3096,21.923096,false
PAGEIND,14006.3,2017-02-23 05:30:00.0,16891.65,2017-07-07 05:30:00.0,0.71396446,2060.038,20.600382,false
PAGEIND,24394.25,2019-02-13 05:30:00.0,18759.95,2019-07-24 05:30:00.0,0.40993267,-2309.684,-23.09684,false
